timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647695345997,21031,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-371,text,false,,3458,0,396,396,https://www.facebook.com/,0,0,21031
1647695335440,31588,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-696,text,false,,4082,117,396,396,https://www.facebook.com/,10554,0,10507
1647695335440,10554,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-696,text,true,,624,117,396,396,https://facebook.com/,10554,0,10507
1647695345997,21031,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-696,text,false,,3458,0,396,396,https://www.facebook.com/,0,0,21031
1647695335436,31607,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-668,text,false,,4065,117,393,393,https://www.facebook.com/,10570,0,10521
1647695335436,10570,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-668,text,true,,607,117,393,393,https://facebook.com/,10570,0,10521
1647695346008,21035,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-668,text,false,,3458,0,393,393,https://www.facebook.com/,0,0,21035
1647695335052,32036,FacebookHomePage,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-78,text,false,,4082,117,392,392,https://www.facebook.com/,11001,0,8818
1647695335052,11001,FacebookHomePage-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-78,text,true,,624,117,392,392,https://facebook.com/,11001,0,8818
1647695346054,21034,FacebookHomePage-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to www.facebook.com:443 [www.facebook.com/31.13.84.36] failed: Connection timed out: connect,jp@gc - Ultimate Thread Group 1-78,text,false,,3458,0,392,392,https://www.facebook.com/,0,0,21034
